,id,Title,Episode,Season,character_names,Total Spoken Words,number of scene changes,Sarcasm Index,Emotional Archetype,vote_average,holiday_episode,director_popularity,writer_popularity,Joey_Rachel_Monica_Chandler_itemset,Rachel_Ross_Monica_Chandler_itemset,Joey_Phoebe_Monica_Chandler_itemset,Joey_Ross_Monica_Chandler_itemset,Rachel_Phoebe_Monica_Chandler_itemset,Joey_Rachel_Phoebe_Chandler_itemset,Joey_Rachel_Ross_Chandler_itemset,Joey_Ross_Phoebe_Chandler_itemset,Ross_Phoebe_Monica_Chandler_itemset,Joey_Rachel_Phoebe_Monica_itemset,sentiment,Ross_spoken_words,Rachel_spoken_words,Chandler_spoken_words,Monica_spoken_words,Phoebe_spoken_words,Joey_spoken_words,Central Perk_occurrences,Monica's Apartment_occurrences,Ross's Apartment_occurrences,Chandler's Apartment_occurrences,Ralph Lauren_occurrences,Bloomingdales_occurrences,Phoebe's Apartment_occurrences
19,86091, The One With The Evil Orthodontist,20,1,"['Barry', 'Bobby', 'Danielle', 'Mindy', 'Bernice']",2732,12,0.5714285714285714,Uncharted,8.0,0,3.859,1.788,1,1,0,0,1,0,0,0,0,0,0.0216446980483525,184,711,522,240,137,327,3,0,0,0,0,0,0
20,86093, The One With The Fake Monica,21,1,"['2', '1', 'Baldhara']",2399,15,0.5,Uncharted,7.881,0,2.681,2.15,1,0,1,1,0,0,0,0,0,0,-0.0625511158145652,427,289,162,581,114,180,4,0,0,0,0,0,0
21,86094, The One The Ick Factor,22,1,"['Gerston', 'Santos', 'Ethan']",2379,12,0.5,Uncharted,8.119,0,21.617,1.388,0,1,0,1,0,0,1,0,0,0,0.1018279338250451,324,224,375,434,408,175,3,0,0,0,0,0,0
22,86092, The One With The Birth,23,1,"['Nurse', 'Lydia', 'Susan', 'Carol', 'Franzblau', 'Janitor']",2885,21,0.2857142857142857,Uncharted,8.3,0,3.4485,3.596,0,0,0,0,0,0,0,0,0,0,0.0683042241019214,584,197,213,218,336,263,0,0,0,0,0,0,0
23,86095, The One Where Rachel Finds Out,24,1,"['Carl', 'Melanie', 'Julie', 'Intercom']",2946,11,0.4285714285714285,Uncharted,8.488,0,1.3065,0.6,1,0,1,0,0,0,0,0,0,0,0.0153557367810214,396,636,307,396,213,497,1,0,0,0,0,0,0
24,86118, The One With Ross's New Girlfriend,1,2,"['Paulo', 'Julie', 'Frankie']",2493,12,0.2857142857142857,Man in a Hole,8.4,0,4.138,2.304,0,1,0,0,0,0,1,0,0,0,0.0410406015201274,527,512,294,217,483,286,3,0,0,0,0,0,0
25,86113, The One With The Breast Milk,2,2,"['Susan', 'Julie', 'Carol']",2374,14,0.2857142857142857,Man in a Hole,7.927,0,4.138,2.447,0,0,0,0,0,0,0,0,0,1,0.0358952922077921,244,396,190,413,199,378,4,0,0,0,0,0,0
26,86231, The One Where Heckles Dies,3,2,"['Allison', 'Treeger', 'Boyle', 'Janice', 'Heckles']",2578,10,0.8571428571428571,Uncharted,8.4,0,1.5755,1.601,0,1,0,0,1,0,0,0,1,0,0.0487924254349874,255,289,675,372,478,262,1,0,0,0,0,0,0
27,86233, The One With Phoebe's Husband,4,2,"['Stranger', 'Julie', 'Duncan']",2698,12,0.5714285714285714,Uncharted,7.974,0,2.1565,1.388,1,0,1,0,0,1,0,0,0,0,0.1092587210218214,416,816,170,230,423,222,2,0,4,0,0,0,0
28,86120, The One With Five Steaks and an Eggplant,5,2,"['Steve', 'Waiter']",2781,12,0.625,Uncharted,8.116,0,1.632,0.6,0,0,1,1,0,0,0,1,0,0,0.069324930572572,500,217,669,389,259,231,2,0,0,0,0,0,0
